SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,SR11,SR12,SR13,SR14
499.289230239112,4107.81168749929,11075.9393039942,3041.58754912682,3092.95596884762,24997.5541392565,6077.90855744481,2547.79513804615,-8829.46371501312,-2405.26567548513,-3098.01111530117,3495.27167290915,-2665.69828680158,6891.3063275516
991.326513732784,6237.55780684855,15713.8537515402,2671.81173806777,2644.96838262305,34744.7121459655,5294.25969180209,15076.8387948424,9867.93416568637,158.099832005799,4595.1144527779,13145.1019230783,-20674.7516973317,5783.10495072417
648.368708901107,6837.76058696397,11212.5485036224,3194.29651020467,2742.72347264737,28891.9731280729,8066.35476590507,27678.0280034691,13408.3531511277,-5960.89743082784,17344.7426356003,17634.4470842034,-33390.6082500294,8987.64784090593
-3591.89016643912,3136.98524864111,5820.88644027338,1080.78042201512,3282.48158156127,19482.8646833077,7411.24356812984,33047.1806159094,9694.90175189823,-16361.8404939845,16133.0650125779,16954.1181746349,-44468.2643333375,8207.01777055673
-6208.45267174393,873.42170085758,4092.72343213111,2067.88405735209,2263.14403611701,10894.8618658737,8356.49251084216,30071.4070352018,7737.21207398176,-16351.0160021931,18499.0011011139,21356.0407711864,-43030.0802246332,13769.2449227162
-2864.56208951399,-666.861049111933,130.297324150801,3042.35576263815,154.77089445293,-7039.43468677998,5392.08140161634,19147.8262120187,-400.478149712086,-5920.65528596938,12713.7538162619,15987.1230958104,-4253.39404690266,11767.5967423618
479.328504040837,-2207.14382271096,-3832.1287920475,4016.82746810094,-1953.60224025813,-24973.7312828302,2427.67029654607,8224.24542201764,-8538.16838152707,4509.70536370715,6928.50635775737,10618.2054395676,34523.2921450892,9765.94850661233
1504.69354911335,-5011.2750415653,-8720.78894922137,5717.24808860896,-2487.01536424831,-33375.4542925358,3904.0833285749,578.229669027031,-11387.5637768433,28244.7234005462,1770.72629127465,952.910610383377,50679.5847483873,11295.6897444427
2260.98059429787,-4156.41750897467,-9372.99689537287,5049.98864692543,-1615.42091516312,-36219.667822361,2070.09853944927,-8113.27159353718,-19057.7397123426,36587.4165566191,127.402025224292,-4016.638824258,69429.5325725079,10664.6441105008
1172.37928432971,-2961.13674437627,-7458.14348311722,1410.35839132092,-756.646487390623,-33046.9931169227,1038.00727297552,-15860.5699912831,-27148.7124848366,27909.5504262224,-8493.04825121164,-11095.0095962137,55810.1433942318,7420.63291418552
-750.841623404762,1002.45325543359,81.1736196428537,-2097.81133720954,-553.219939395785,-16094.9217773974,3207.27145764232,-11112.9754364193,-10149.0347380508,19172.2818855359,-7466.83829611295,-3151.23177523352,25456.2486397289,9292.61148481595
2949.92664638907,7863.29454889894,7828.87452235818,3569.13634937722,2908.25659830868,-4955.62315653078,9035.82482286543,4021.6571116522,-4844.00611964148,15736.547811674,-1782.15180490166,8077.33390054852,4985.68376466259,15133.2156389952
3350.23328697868,6577.95947550237,8443.91333174706,5350.86123889685,5832.13369524479,2266.10330192372,14100.1101526022,18001.4085254073,29.5749131962657,19394.0828954279,4660.66138285026,14209.2351565361,-5455.31319975853,14932.897248745
557.05360446428,5703.57356661558,9307.43113219738,3853.00426408649,7117.69475883991,20963.5427918434,10703.1914964318,37093.8136651516,15238.1548103616,11509.0429708399,13340.8428286761,21671.3009534776,-26614.5336100161,17027.443575263
-2346.9391172193,4815.01318452135,7917.58015546203,-956.071999908425,5186.74425960705,23240.3724963069,3557.96353679057,32642.0295987725,18178.4509461522,-3269.39619344939,6389.94655651972,21390.3520853817,-45053.0306733549,11200.6033164933
1294.14043486863,7426.20396833122,9795.50299298763,2566.32743267529,4369.40796377696,22014.8937587738,8583.93704091758,35465.9953952655,21879.2177739143,-8639.86627405882,10256.6986781843,28949.6057747603,-40927.2800551057,15704.4168775789
-1915.16034074407,5223.19861075282,5987.23512728512,-1637.84078860143,3309.44599187002,13000.3118459284,2166.40606274642,30350.7110560983,17916.8982253969,-14569.9494834542,7034.45358703006,18667.1376730204,-38323.0218715966,11135.3431565091
-2141.32537644135,1470.5416168198,753.044504767284,-4199.97263455554,-872.78516593398,2621.83604670642,168.006351990625,19110.0148744192,14022.1826703399,-14131.8862286508,-2691.96628963202,7860.31185286026,-6030.90092003346,7620.40203429014
4879.16266536713,3377.1906169951,-517.869746593759,3843.66288872995,-255.19793102704,-6932.27154428884,5647.1250112541,16357.1863343585,15383.3300390246,-5639.5619460009,-917.046957882121,10388.658308371,46716.6730579846,10879.0823490173
23.2190264419187,-1262.75578255183,-4782.77569510415,1154.66163561842,-825.808694135165,-14229.2911046147,-3560.81932921452,83.0794195983326,-497.379006635398,12636.327282548,-5912.65566284582,661.229159813374,56151.2905128002,5267.41570457816
-2729.29145936482,-2739.88717681542,-6111.69194740057,-3290.37443778571,-2747.21122431383,-23149.1763063371,-3628.55482275412,-7680.80835133791,-3922.8340147147,13442.0217646323,-7008.95133194327,-2412.63336056168,68911.1684482098,4022.62070506671
-5746.87105496228,-4698.5369152762,-6101.98675060272,-4798.81799870729,-2908.5520287212,-23699.7606480774,-2999.2092198208,-16194.5804053843,-12978.3537759185,11669.9955740385,-12611.9701006636,-10256.3797553889,57143.5807846189,-2615.35833361652
-1243.13785474328,549.52664578706,429.591751977801,-1018.01415502001,-1412.76321979798,-9920.13621026813,5069.88666965813,-6664.65277351067,-4825.40917604417,9569.72162597254,-11795.8471247442,-2107.44090476539,22077.8983549476,2690.57046341337
341.82473803591,2139.64189478243,4220.38852250576,914.766868903302,-649.062022246071,1522.21402717568,5005.92419796763,5568.97621798841,8825.52342561726,3706.04450653493,-4174.5332082212,10041.9441348761,375.866116203368,8827.27292040146
-260.143535777926,2578.09410760552,5734.16207176447,-1551.18740004953,1468.35394409206,6674.36090568826,6157.3386214393,12477.1882396443,11956.850648962,-807.948022056371,5200.9963728711,17115.4844702482,-19789.1734772564,8950.58888155222
3764.61633898318,2644.59767661616,6385.28348255158,4801.95388175547,4053.91661577299,22552.0076830015,12544.7654509712,29308.5456735804,23704.9600446238,444.45496378094,19235.3331569056,27294.2016038001,-28474.9220631272,11049.9701300822
4765.6156167239,5249.65800338984,6527.63348126412,6663.29175692797,7966.98024886847,32280.5402338505,11395.2142285109,36904.3752884865,28430.660502553,235.771288760006,30032.8360757083,28346.593069315,-35488.2005985454,12775.2769366019
-1194.79953936138,860.776254210621,3539.41938057542,-853.198754369281,3731.98583722475,23722.1053754306,5604.56043043267,31970.0222111717,28987.4577012062,-9040.02217819216,27564.9978576303,27775.8330374956,-43838.6653990746,10342.7186913203
1653.12959633186,-137.728126951493,3057.44044660777,2017.97859319719,3000.42996721901,24210.1847687922,7964.05647373851,31667.3699585944,39113.3231854439,-10968.2930792384,27456.3367399145,24240.5758652687,-45396.862978816,13386.640126586
851.375448329607,-2475.18308314681,-2570.03322369605,589.997271224856,1585.02001972962,7575.29235365242,3962.98199081421,22746.0672384426,30257.6133756638,-15689.4343038797,19065.4763287306,15063.5101559907,-35753.5639753677,11810.2594157755
-1101.80567308143,-5379.65429320931,-7914.26135861874,-1554.93099500053,-2696.40425733104,-3701.11247719079,-806.387255426613,7765.29746128246,15824.5620480441,2984.02591733262,11741.184911577,4847.73536448553,12846.5002050251,3865.68134161667
89.1767553347163,-5160.75312512182,-9452.06769454479,418.230096886982,-1936.61254458781,-7387.13696211763,-1295.06195522239,-1598.97206653678,3892.43819277734,16463.6698075943,5683.092196838,-713.858010642231,47628.127820015,5964.06778405607
3620.82944945223,-4978.41709486395,-10145.4322001636,2569.2839173004,-2002.96597621404,-8898.5314583322,499.274327737279,-4876.57526960736,-425.33236226812,20133.7422179733,4790.09174455144,1437.24378316291,53567.3280904293,3050.51387416944
6221.18613489345,-2435.46812371723,-7600.96282048151,4448.27621489763,-674.569484108361,-2969.12962447479,2926.63678605109,-9489.23035467416,-791.261353779584,21644.2754774932,1713.4522357136,-2766.9515173994,43362.4764018357,637.902474980801
3162.6410745997,-1884.74563061632,-3988.40395306051,1963.29280191625,-1068.91140542924,-6416.04515506327,6125.84277434647,-5633.8535495624,2361.73334695399,15214.1627039276,-1247.47794828936,-3290.33039797097,24501.935340941,2999.7713181749
2887.49888745695,1504.71870330349,2235.61987288296,3404.90065933391,1066.44622795004,10368.1449740264,10836.9658483285,-782.089279888198,11219.7537301816,6045.35638005659,-4322.78977302089,-415.026506407652,586.439211450517,8745.6278180154
3297.56442729845,2044.13987691235,4130.21899945661,1677.61718989117,1975.08438301086,23575.4720320702,6164.17727168836,7286.03131630644,18613.2292549312,-1038.00795271713,2028.40118232463,7866.69438824058,-17260.0570451543,4488.08173149009
5058.3127798005,5159.67668411136,4754.96536938846,3503.70508723892,6601.07482948899,23374.002895236,6403.23968301993,29976.5580025315,18329.5069119334,-4759.83674485795,11201.7773587704,18371.3738008738,-31701.2940889299,8986.98888133466
9060.62853753753,8223.64860415459,7645.16556307674,9267.71360230446,12319.6805975437,41917.7053780556,9940.6342613101,37286.2357070446,26169.907481432,-4237.5013363082,17779.114022404,25702.8996858597,-43876.2260051519,9722.41671012435
6572.73593237251,3828.78947293758,5287.76879326999,5879.22884500399,5534.25879120827,43480.9453928471,7280.54938814789,35086.9189682007,33635.9046564102,-13814.2147520185,13776.3641665727,20690.0974615812,-54008.5918138027,8921.54118942097
-1538.15297686751,39.794038310647,1150.55500848591,-3672.20937069787,644.590943559797,26212.5718920082,546.855529731605,25407.0274554174,32248.9868397713,-23166.633748835,5092.85933930008,10450.4714574702,-51048.7948117256,6816.80953210965
1970.92018132284,-890.051617736463,-2272.81635878235,546.269262308255,1067.7135330122,20120.31886613,-18.590351567429,15973.1820925325,24327.0837811232,-23490.0384738632,-500.57815623458,4933.48421035707,-14082.4906427711,6704.03409477603
2986.20621967316,-2087.51003414392,-6741.84832420945,-288.432245161384,-879.492930226028,-2521.37376417033,-4565.02432433143,2055.46220479044,11670.6361203194,-8056.92679750174,-2983.40194362786,192.208226393908,17785.4624067806,5614.18147100881
3921.27040923759,-3198.69691639394,-9602.15521553159,904.436418957077,-938.903287795372,-10128.3380629595,-4227.74843514711,-6781.3654980748,-8124.12159270048,26592.1222050432,-2130.56928591803,-7383.30133920536,40904.6881232262,740.479332456831
634.815579596441,-4342.05420455337,-9809.17624328658,-1720.3070326942,-2279.27535964045,-14549.728420259,-2514.98568824865,-11433.7451163488,-10413.5982596874,33650.2767266706,-4500.40789134428,-12950.8580456376,52756.444988668,-3173.02903982345
-1269.62631824799,-4248.94295167178,-6193.50344243646,-2323.52292371355,-674.950624238467,-17420.6747223996,-247.304756206664,-15361.6050422955,-15243.7466170788,20290.9518394768,-13784.1142026894,-16835.2087437511,41368.9396394417,-5913.70342598856
1689.71329164237,392.538822300732,-532.309579624329,3714.58491316438,2095.85245202854,-9421.37069521844,4991.57621404948,-1019.05670211092,-4870.47051835433,13352.1609779969,-10007.6913906671,-8543.77738068439,15473.8917834386,-3041.70164595719
2205.11858274578,2616.03473120555,4230.90043881722,1535.08212347515,-1494.64755659923,-4947.05085439608,5684.8540526774,132.353516291827,2548.4485038498,10261.9704755098,-515.889219338191,2000.95976399502,-5506.32394428551,-366.707731280476
2406.56656587869,3550.90849176049,5839.9558095932,5235.54869964719,2400.51779743284,1517.66744349897,6197.94112611748,7937.90270259976,363.880529003218,6459.29866322316,3265.74654212315,8018.33242017217,-23613.3488889039,1165.08273869893
2651.33486296609,2713.02173160762,4936.38005465269,4545.23872385547,2182.49715255201,10591.0220317543,6478.13773777988,16836.2338028848,9309.96111351252,6410.9894659482,7421.69698540121,11021.0560717583,-30018.756404534,634.062307834625
-1019.59762239398,1279.37540616095,4791.3236021772,322.172788331169,1907.97051739134,15860.7847575545,3217.50955499802,21482.2041163743,14812.3296987554,2001.23959019035,18194.876423955,15553.0769166499,-41686.7095534802,2815.97110561701
790.580388233066,1126.18384576595,3214.53334868699,3142.74647230189,-205.231542580441,11198.2352895737,3239.20455785678,24898.024297893,19103.0062527657,-7297.68972568214,18179.5536400378,16061.0536518991,-50212.6380927563,3253.67496912414
725.831910177658,1305.76623387309,2067.01269879751,1720.35314802773,-454.819252440706,-3796.1619844283,516.748360574245,20702.4060017047,10376.8826527614,-13774.1996115875,10701.962981306,12553.2618196905,-43203.6881287098,1409.84696072992
1564.45524879545,-340.115022469312,3123.30362878367,2115.51885151817,-89.043479308486,-6544.51394888014,-717.357131113298,11718.2227885053,-430.46827756986,-11125.0180607904,7376.89234046545,6512.87279144931,-12933.8698225021,3039.19981200434
-700.345720409416,-3568.33448058367,-960.903483627364,-1183.41989406539,-5415.85535538197,-22964.8850643635,-5280.30004257383,-247.68108388409,-6968.5490670912,11859.7748285383,4789.4040239281,-605.093449708074,26298.0423360169,2596.60600557458
1584.9391002031,-5731.0256858021,-4446.78255051374,2164.47187857173,-5134.0028174601,-27693.6366702318,-3396.6402073456,-7606.54120209254,-15770.8497774303,24857.8590773493,959.504235126078,-7342.6914752638,63839.9732918739,3841.3620428741
-6065.7033515349,-8187.46615326405,-8459.03052139282,-3076.68791840388,-7914.63857053686,-31243.2368819714,-6477.5419273153,-18810.0530147553,-22895.2686091065,23990.9659242295,-6248.27629932761,-15165.9018129855,73038.74650383,-2327.48790883087
-4445.89174227415,-5634.61863172101,-7445.43419869244,-3103.22992679477,-3934.6824439764,-29358.5612114668,-4347.69515524898,-25094.6921382248,-30953.4619333744,13276.4091991009,-15875.7272889167,-23621.2171641588,52552.3541902304,-9593.02955284715
-1345.22830790048,-4011.33995386958,-4839.02292689681,-2401.37615973875,-4264.09490914084,-16351.1283337846,124.799085065373,-19706.9317646585,-19992.4239933491,7423.65997628868,-18124.126345709,-21937.9394514561,23109.2588009685,-12915.3778567016
2217.04152662866,-6.03737624920905,2878.81415919238,-338.324757631403,-1038.09081893973,4947.82509993017,836.72790027922,-9572.90690440871,-5114.36438109563,3157.93042114005,-12864.5877743363,-9217.95973342657,-809.552307428792,-6423.87707622163
728.025680281455,587.112765977159,4107.91297401488,-860.365763679845,720.117533266544,9945.86538884416,3159.56498815306,-5648.76028924465,-3176.04713783786,2037.9892274756,-3814.01052048616,-2589.51426894544,-14527.6775867492,-2340.8187688319
593.661974320188,-408.34412685968,3835.49847677257,3360.27229081094,678.097376180813,13482.470903188,2972.57594388141,4093.88185334206,111.917561322451,-5459.8879924966,3077.86788986111,2630.0093606282,-23413.5285145044,-3119.73809309769
1185.61644717644,339.673780824989,4610.0015484225,4414.48698176444,1228.71678004228,11683.4911441207,2431.01176943723,7027.02904044557,-10265.6765974951,-8695.44539511949,3873.33384443866,9307.71074166521,-35843.5171554685,-1428.73181234207
-910.135357138235,-470.781225318089,5328.99921691418,2055.43039316172,3925.76987550594,18016.0772982538,-339.199496321613,3542.30402223021,659.815121592954,-18280.5709050735,3011.18231960945,4125.23656341806,-43193.6742407084,494.672510500997
-1239.61563603207,-2501.95928592421,3082.05689423252,-2734.08433489921,-4581.52744780853,6605.22772445902,-6038.83113937452,-7144.47286767326,2495.90204135235,-23218.4707459072,-5238.37212597486,-2392.2005199641,-45657.8050654605,-5367.80892833695
-4112.33168913424,-4939.07266705949,3176.56504967064,-5925.4742987752,-6272.56625270844,-3546.88631119207,-9796.52830612659,-17335.0220399201,-5310.6277589486,-21407.4885369763,-10100.82557467,-15075.4414397478,-13660.0422559604,-6857.62120382954
-1373.35634362325,-4746.2674048245,-1229.68554796837,687.346963047748,-6229.67449925374,-14343.0508061945,-8310.82077860832,-23200.2024146318,-12648.0338984653,-1481.94751490653,-9429.64227149263,-16396.7273650318,41867.3873936832,-7580.49277563207
-2744.52090505511,-7281.52492743731,-6068.92570622265,2848.78976175049,-5666.33886710554,-21559.1381036043,-9281.71179581433,-30226.7037327588,-22142.3713640273,18123.0122458264,-9721.06505445042,-19194.696393609,68716.6881022453,-10389.3845397867
-5073.68080866337,-9736.0458265543,-9103.87980830669,-4733.94394096057,-7293.04418708384,-34069.250487566,-11647.8719237521,-41644.0260987282,-35621.4467272759,19378.219289884,-13636.0549408197,-26252.159819603,67833.1926779747,-13903.3371401802
-5163.08182264864,-7101.78728759289,-8242.04767045379,-5552.25086224079,-6888.53203959763,-29752.1105780602,-12698.1381635368,-43139.6863923073,-32748.0562877655,12018.2536663329,-20291.2855141163,-28081.1689379215,48458.4404428154,-18959.4418570399
-5883.22124712169,-254.515865737572,-2156.84221236035,-5143.69957449427,-3203.54242448881,-23485.9318646193,-6451.25544081419,-38351.4441313744,-35040.8414039612,4048.51759260893,-21160.5955407769,-23937.3838691711,29000.2505398467,-16877.2302574366
-687.823529466987,4474.7095451951,4789.76619628072,-538.804208781861,404.823173264042,2072.05549645051,-2845.88460055366,-29206.5172771215,-23415.2013408616,2598.91908226535,-16896.4831467457,-18681.0601649284,7.78145787492394,-13170.8956012279
1049.66975901648,6844.9611145258,6261.67912912369,3087.10365811177,-328.713323595468,7384.89737418294,1356.86423190311,-22339.8153034523,-15981.9553016424,-404.733877588064,-9029.31646211445,-9639.00239588693,-13770.8064386975,-10041.4024985824
-4887.38643567264,8329.96009457111,7623.62769672275,-5840.83823050559,4456.4531807676,16090.9978627935,-5245.08591194172,-15329.4341855049,-15540.5111321956,-11303.8558307802,-3569.59953585267,-9820.6496308744,-32677.0287054405,-12003.8452013433
-1939.11915278342,7401.13595418632,6885.01460176706,104.053920579143,2742.07886326313,25807.7525505424,-5081.21470396966,-7690.95879770955,-4091.880076278,-14750.7491059508,3471.13589425758,1189.51704970747,-44169.6407455276,-6918.80730493506
-2852.96622509812,5060.12250375748,3491.49433360994,-1737.93024765514,1994.42478150129,20499.156232357,-4633.25919156149,-2850.5490947403,3671.18075565854,-16903.5313244164,9422.59230469633,715.060589746106,-51570.2931005955,-5882.34205904463
-4775.41362450831,1261.85426389612,2340.80835013092,-4897.30369846709,1091.60043420736,7265.74697330594,-6893.17795104534,-5215.92346748337,3349.63027659291,-26656.4665341824,6521.88018694334,-3203.0928206183,-52588.6601989269,-6257.2267996124
1201.4726311774,2591.1131555796,147.744267692789,-3798.12337772176,443.876785804518,-5352.77317690291,-7387.16562563228,-12798.7043478396,-9467.51751027443,-29423.5592083931,-1869.22078164108,-13775.909997738,-36828.6672031637,-9396.34626023285
-851.381462711841,564.295598223805,-4074.69024860859,-3649.25194953755,-1782.28358373279,-10942.6059430726,-7319.37632634491,-17581.5947168702,-17551.0871749967,-19607.1096154004,-3861.80702317134,-16941.9581232369,615.548225268722,-10566.6425653808
-2682.24287671596,-3064.13443024317,-8032.40744733811,-12.6586690382101,-3171.33583710343,-25437.6324353814,-11591.9560671402,-30009.5729446858,-23036.1504909396,-8426.71551275812,-8589.85978243127,-19281.3760026395,42552.1181911528,-10138.7338795525
-1045.79792712396,-3261.20393055677,-11239.7665265799,-3315.42425318155,-3864.60415669903,-36269.1630812585,-11179.9013458341,-34702.3208620399,-28735.629997015,2539.47267328389,-12099.1524847746,-20753.3694448471,42891.4835304022,-13787.0911275111
-5112.42470348626,-3699.91849166062,-10897.3149179518,-7513.59695829079,-2993.79107759148,-40140.6573597044,-11267.6772092395,-40953.7055549026,-34331.6165561676,-5183.48954709061,-22390.6213405132,-27239.9704749584,28430.8915685415,-20497.639125824
-2393.12457616022,-1400.5110806711,-4848.41713552363,-6537.45938527212,-1388.18386051431,-21208.5596295921,-7125.87769505009,-29000.915698316,-26333.0254816413,-10977.3309938628,-22201.4702632427,-24366.4585776329,2865.66019318253,-13857.7898704335
-2766.54075494688,2409.87796784565,2316.13322162628,-6633.53245224431,3328.95101289451,-4311.18874806073,-5345.0049315244,-16028.3882202469,-19365.3264859691,-13724.9115262479,-12194.5561752319,-14667.6197048724,-15227.376546829,-8418.45843229443
